ancient	cobblefurnies:statue_ancient	assets/cobblefurnies/models/bb/statue_ancient.bbs.json	cobblefurnies:block/statue/statue_ancient	28	43	516	17977	1fe6618351515cf00420483b920eb3a5b9a907db62668a523064c02d61b39b23
bulbasaur	cobblefurnies:statue_bulbasaur	assets/cobblefurnies/models/bb/statue_bulbasaur.bbs.json	cobblefurnies:block/statue/statue_bulbasaur	27	46	552	19442	d024b050bdad80ace9f8f69715aefb223f6abb5e89fc7dd6a1d2691229aaf5c7
charmander	cobblefurnies:statue_charmander	assets/cobblefurnies/models/bb/statue_charmander.bbs.json	cobblefurnies:block/statue/statue_charmander	37	59	708	25252	556dbff4f0efbc17225279f33b3ef7461e9894a56050489ccd46c870666b1515
pikachu	cobblefurnies:statue_pikachu	assets/cobblefurnies/models/bb/statue_pikachu.bbs.json	cobblefurnies:block/statue/statue_pikachu	24	32	384	14014	f4afbaf181efa7331dbd9b7fc360e5afe62fc1c4f2de9bfb976f4f7d6c65cb40
squirtle	cobblefurnies:statue_squirtle	assets/cobblefurnies/models/bb/statue_squirtle.bbs.json	cobblefurnies:block/statue/statue_squirtle	29	41	492	17722	30c5a836bdeed841f6c7e1af858e6d06d59bb29b696dfc25ba2f6f368910afab
